block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
12998751,0.00102134,0.00000000,0.00102134,28954.22846975,602,0.00100000,0x26c351893af2885113383143fdc03ebd98eb1ff3|0x8682b6f62e980ea69127dc175cb4fb3ac7af86af|0x63d80f10ed08baf7950af337926d859d3a1e63fe|0x191227eb93bdcb4d8aaca3b69665dea4600aab59,
12998755,0.00060100,0.00000000,0.00060100,28954.22907075,604,0.00050000,0x7efe6498de1f648135b22e184d3f3be9712969a4|0xae104b59d63dc4d2b27b5fa553973e1ecbaba933|0xeb757f6635e790d99641a80a3616ffb0d826cdf3,
12998756,0.00010000,0.00000000,0.00010000,28954.22917075,605,0.00010000,0x43c71efd9bd48ac0a29802fc85f62c060915e37e,
12998760,0.00200000,0.00000000,0.00200000,28954.23117075,607,0.00100000,0x385a3911ff5b1f4ce3fefe3b430edf5792fd4044|0xbd2a18df237c018e856dc88c720f9d99d82b086d,
12998770,0.00120800,0.00000000,0.00120800,28954.23237875,610,0.00109700,0xcd47f68bab44e3a61acde85308128307900db306|0xf2e80fca005f4f911c9de823082cb4acd0f89565|0xdbc760690649025be359cd12bba53d32c9ddde29|0x9b2dc9039f7d665fb4ea3b03234cc58f3dad4c21,
12998771,0.00200000,0.00000000,0.00200000,28954.23437875,612,0.00100000,0xbb892bdccc64823e6ad9b23a110cd3a22b73c014|0x54c7bb00d5b38ea2583069eaac8b42d56b6aaff2,
12998773,0.00006667,0.00000000,0.00006667,28954.23444542,613,0.00006667,0x53e82bffe63c6751d79c875155fd9ab81636aa73,
12998784,0.00001000,0.00000000,0.00001000,28954.23445542,613,0.00001000,0x20d801dbee0505f9a77cff40f5fed6ff0f0ee9d6,
12998787,0.00100010,0.00000000,0.00100010,28954.23545552,614,0.00100000,0xbb892bdccc64823e6ad9b23a110cd3a22b73c014|0xda00bf75f613bfb4dbfece5c8f63051caa78bed5,
12998792,0.00010000,0.00000000,0.00010000,28954.23555552,614,0.00010000,0x4211117e9a19de887e01afdddcf52ba5eefa7d07,
12998798,0.00376928,0.00000000,0.00376928,28954.23932480,616,0.00323625,0x02254f1cd94c6580292d48b0982aca548724189a|0x8b77c3400fc5cf114cfaf9f8424706b0f162d137,
12998800,0.00000013,0.00000000,0.00000013,28954.23932493,616,0.00000013,0x277b652f157e3101f64ef59f03d868ec01ea8b32,
12998815,0.00828230,0.00000000,0.00828230,28954.24760723,618,0.00800000,0x527b0642b3902c3bc29ae13d8208b86da007aa26|0xf052596756d2f20fa45227247f7f2d9387524e64,
12998818,0.00133700,0.00000000,0.00133700,28954.24894423,618,0.00133700,0x0fee04e7b8dd7987d9a0fe371db678cecde4a58e,
12998822,0.00200000,0.00000000,0.00200000,28954.25094423,620,0.00100000,0xdc7ec05bf7781f9e861ee5486023dc6cf71fa7c4|0x3a344c071097729e0c81fa4fa43547c3101aae10,
12998823,0.00001000,0.00000000,0.00001000,28954.25095423,621,0.00001000,0xc46ff23764eee6293e94420342bba6e885f9deaf,
12998824,0.00010000,0.00000000,0.00010000,28954.25105423,622,0.00010000,0xf30f7f7949b00e4b60ad2e3580d453da11166117,
